Date,  AOR  ,SCHG.K  ,  QQQ.O  ,  ACWI.O  ,  ESGU.O  ,  CRBN.K  ,  ESGG.K  ,  AAPL.O  ,  MSFT.O  ,  JNJ  ,  PG  ,  V  ,  MA  ,  GOOG.O  ,  META.O  ,  TSLA.O  ,  AMZN.O  ,  UL  ,  JPM  ,  ADBE.O  ,  MRK  ,  PG  ,CL =F, 6E=F , 6B=F , TYX , TNX , FVX 
8/1/2018,0.005,0.005,0.005,0.04,0.015,0.355,0.005,0.545,0.005,0.06,0.005,0.04,0.015,0.355,0.545,0.01,0.04,0.025,0.005,0.03,0.005,0.01,0.03,0.005,0.005,0.01,0.01,0.005
8/2/2018,0.005,0.005,0.005,0.02,0.175,0.305,0.01,0.615,0.01,0.025,0.005,0.02,0.175,0.305,0.615,0.01,0.04,0.025,0.01,0.04,0.01,0.005,0.04,0.005,0.005,0.005,0.035,0.005
8/3/2018,0.005,0.005,0.005,0.065,0.105,0.185,0.015,0.315,0.005,0.015,0.005,0.065,0.105,0.185,0.315,0.015,0.025,0.005,0.005,0.09,0.01,0.005,0.09,0.005,0.005,0.005,0.01,0.005
8/6/2018,0.005,0.005,0.005,0.02,0.025,0.375,0.02,0.365,0.005,0.025,0.005,0.02,0.025,0.375,0.365,0.005,0.01,0.02,0.005,0.11,0.01,0.01,0.11,0.005,0.01,0.01,0.015,0.005
8/7/2018,0.005,0.005,0.005,0.02,0.035,0.32,0.01,0.36,0.005,0.04,0.005,0.02,0.035,0.32,0.36,0.01,0.005,0.015,0.005,0.04,0.01,0.005,0.04,0.005,0.005,0.005,0.015,0.015
8/8/2018,0.005,0.005,0.005,0.02,0.26,0.34,0.01,0.37,0.005,0.045,0.005,0.02,0.26,0.34,0.37,0.01,0.005,0.02,0.005,0.045,0.005,0.005,0.045,0.01,0.005,0.005,0.02,0.005
8/9/2018,0.005,0.005,0.01,0.06,0.04,0.24,0.005,0.34,0.005,0.075,0.01,0.06,0.04,0.24,0.34,0.025,0.025,0.01,0.005,0.065,0.005,0.015,0.065,0.005,0.005,0.015,0.01,0.01
8/10/2018,0.005,0.005,0.005,0.045,0.025,0.19,0.005,0.365,0.005,0.055,0.005,0.045,0.025,0.19,0.365,0.01,0.02,0.035,0.01,0.05,0.005,0.015,0.05,0.005,0.005,0.015,0.015,0.01
8/13/2018,0.005,0.005,0.005,0.02,0.025,0.29,0.005,0.365,0.005,0.05,0.005,0.02,0.025,0.29,0.365,0.015,0.025,0.025,0.01,0.025,0.005,0.01,0.025,0.005,0.005,0.01,0.01,0.005
8/14/2018,0.005,0.005,0.005,0.025,0.2,0.34,0.015,4.45,0.005,0.03,0.005,0.025,0.2,0.34,4.45,0.02,0.005,0.02,0.015,0.06,0.005,0.005,0.06,0.005,0.005,0.005,0.01,0.005
8/15/2018,0.005,0.005,0.005,0.04,0.045,0.29,0.005,0.325,0.005,0.105,0.005,0.04,0.045,0.29,0.325,0.01,0.02,0.035,0.005,0.095,0.005,0.01,0.095,0.005,0.005,0.01,0.005,0.005
8/16/2018,0.005,0.005,0.005,0.03,0.005,0.345,0.005,0.375,0.005,0.015,0.005,0.03,0.005,0.345,0.375,0.005,0.02,0.015,0.005,0.06,0.005,0.005,0.06,0.005,0.005,0.005,0.01,0.005
8/17/2018,0.005,0.005,0.01,0.01,0.025,0.36,0.015,0.34,0.005,0.04,0.01,0.01,0.025,0.36,0.34,0.03,0.01,0.025,0.01,0.06,0.005,0.005,0.06,0.005,0.005,0.005,0.02,0.005
8/20/2018,0.005,0.005,0.005,0.04,0.11,0.3,0.005,0.345,0.01,0.06,0.005,0.04,0.11,0.3,0.345,0.005,0.025,0.005,0.005,0.03,0.01,0.005,0.03,0.005,0.005,0.005,0.005,0.005
8/21/2018,0.005,0.005,0.01,0.055,0.02,0.07,0.005,0.31,0.005,0.045,0.01,0.055,0.02,0.07,0.31,0.02,0.015,0.015,0.005,0.03,0.005,0.005,0.03,0.005,0.005,0.005,0.01,0.005
8/22/2018,0.005,0.005,0.005,0.025,0.015,0.19,0.02,0.29,0.005,0.05,0.005,0.025,0.015,0.19,0.29,0.025,0.01,0.015,0.005,0.05,0.01,0.005,0.05,0.005,0.005,0.005,0.015,0.005
8/23/2018,0.01,0.005,0.005,0.015,0.015,0.125,0.005,0.28,0.005,0.04,0.005,0.015,0.015,0.125,0.28,0.005,0.01,0.02,0.005,0.13,0.005,0.005,0.13,0.005,0.01,0.005,0.015,0.01
8/24/2018,0.005,0.01,0.01,0.03,0.065,0.05,0.02,0.27,0.01,0.03,0.01,0.03,0.065,0.05,0.27,0.01,0.04,0.015,0.005,0.075,0.01,0.01,0.075,0.005,0.005,0.01,0.02,0.005
8/27/2018,0.005,0.005,0.005,0.03,0.045,0.125,0.005,0.27,0.005,0.055,0.005,0.03,0.045,0.125,0.27,0.015,0.035,0.01,0.005,0.14,0.01,0.005,0.14,0.005,0.005,0.005,0.015,0.005
8/28/2018,0.005,0.005,0.005,0.035,0.06,0.195,0.015,0.455,0.005,0.05,0.005,0.035,0.06,0.195,0.455,0.005,0.045,0.005,0.005,0.195,0.005,0.005,0.195,0.005,0.005,0.005,0.01,0.005
8/29/2018,0.005,0.005,0.005,0.05,0.05,0.14,0.015,0.295,0.005,0.025,0.005,0.05,0.05,0.14,0.295,0.005,0.01,0.005,0.005,0.06,0.005,0.005,0.06,0.005,0.005,0.005,0.015,0.005
8/30/2018,0.005,0.005,0.005,0.045,0.14,0.16,0.01,0.275,0.005,0.05,0.005,0.045,0.14,0.16,0.275,0.015,0.005,0.01,0.005,0.19,0.005,0.005,0.19,0.005,0.01,0.005,0.015,0.005
8/31/2018,0.005,0.005,0.005,0.055,0.035,0.19,0.005,0.315,0.005,0.055,0.005,0.055,0.035,0.19,0.315,0.005,0.015,0.035,0.005,0.22,0.005,0.005,0.22,0.005,0.005,0.005,0.015,0.01
9/4/2018,0.005,0.005,0.005,0.02,0.05,0.07,0.01,0.3,0.005,0.045,0.005,0.02,0.05,0.07,0.3,0.025,0.045,0.01,0.005,0.13,0.005,0.005,0.13,0.005,0.005,0.005,0.01,0.015
9/5/2018,0.005,0.005,0.005,0.025,0.06,0.27,0.01,0.31,0.01,0.05,0.005,0.025,0.06,0.27,0.31,0.015,0.045,0.02,0.005,0.06,0.005,0.005,0.06,0.005,0.005,0.005,0.005,0.005
9/6/2018,0.005,0.005,0.005,0.005,0.11,0.265,0.02,0.28,0.005,0.045,0.005,0.005,0.11,0.265,0.28,0.015,0.03,0.02,0.005,0.08,0.005,0.005,0.08,0.005,0.005,0.005,0.015,0.01
9/7/2018,0.005,0.005,0.005,0.015,0.15,0.3,0.005,0.28,0.005,0.04,0.005,0.015,0.15,0.3,0.28,0.045,0.03,0.005,0.005,0.095,0.005,0.005,0.095,0.005,0.005,0.005,0.005,0.005
9/10/2018,0.005,0.005,0.005,0.03,0.205,0.2,0.015,0.325,0.005,0.06,0.005,0.03,0.205,0.2,0.325,0.015,0.035,0.025,0.005,0.1,0.005,0.005,0.1,0.005,0.01,0.005,0.02,0.015
9/11/2018,0.005,0.005,0.005,0.095,0.035,0.075,0.005,0.31,0.005,0.02,0.005,0.095,0.035,0.075,0.31,0.02,0.035,0.02,0.005,0.135,0.005,0.015,0.135,0.005,0.005,0.015,0.015,0.01
9/12/2018,0.005,0.005,0.01,0.01,0.13,0.055,0.025,0.345,0.005,0.02,0.01,0.01,0.13,0.055,0.345,0.045,0.025,0.01,0.02,0.08,0.005,0.005,0.08,0.005,0.005,0.005,0.005,0.005
9/13/2018,0.005,0.005,0.005,0.055,0.105,0.2,0.015,0.275,0.005,0.05,0.005,0.055,0.105,0.2,0.275,0.025,0.045,0.005,0.005,0.115,0.005,0.01,0.115,0.005,0.005,0.01,0.01,0.01
9/14/2018,0.005,0.005,0.02,0.065,0.06,0.27,0.015,0.38,0.005,0.015,0.02,0.065,0.06,0.27,0.38,0.015,0.015,0.02,0.005,0.085,0.005,0.005,0.085,0.005,0.005,0.005,0.005,0.015
9/17/2018,0.005,0.005,0.005,0.035,0.145,0.32,0.015,0.3,0.01,0.04,0.005,0.035,0.145,0.32,0.3,0.015,0.035,0.01,0.005,0.16,0.005,0.005,0.16,0.005,0.005,0.005,0.015,0.005
9/18/2018,0.005,0.005,0.01,0.035,0.14,0.31,0.015,0.325,0.005,0.055,0.01,0.035,0.14,0.31,0.325,0.01,0.04,0.04,0.005,0.24,0.01,0.005,0.24,0.005,0.01,0.005,0.01,0.02
9/19/2018,0.005,0.005,0.005,0.025,0.035,0.385,0.01,0.3,0.005,0.055,0.005,0.025,0.035,0.385,0.3,0.01,0.015,0.02,0.015,0.2,0.005,0.005,0.2,0.005,0.005,0.005,0.015,0.01
9/20/2018,0.005,0.01,0.005,0.065,0.065,0.32,0.005,0.355,0.005,0.055,0.005,0.065,0.065,0.32,0.355,0.02,0.03,0.005,0.005,0.105,0.02,0.005,0.105,0.005,0.005,0.005,0.01,0.005
9/21/2018,0.005,0.005,0.005,0.065,0.11,0.28,0.01,0.315,0.005,0.02,0.005,0.065,0.11,0.28,0.315,0.01,0.025,0.01,0.005,0.065,0.005,0.005,0.065,0.005,0.01,0.005,0.005,0.01
9/24/2018,0.005,0.005,0.005,0.04,0.045,0.255,0.01,0.315,0.005,0.035,0.005,0.04,0.045,0.255,0.315,0.02,0.015,0.015,0.005,0.135,0.005,0.01,0.135,0.005,0.005,0.01,0.015,0.005
9/25/2018,0.005,0.005,0.005,0.005,0.125,0.245,0.01,0.315,0.005,0.035,0.005,0.005,0.125,0.245,0.315,0.015,0.03,0.02,0.005,0.075,0.01,0.005,0.075,0.005,0.005,0.005,0.015,0.015
9/26/2018,0.005,0.005,0.005,0.09,0.06,0.335,0.01,0.305,0.005,0.025,0.005,0.09,0.06,0.335,0.305,0.005,0.04,0.02,0.005,0.045,0.005,0.015,0.045,0.005,0.005,0.015,0.015,0.03
