Date,Adj Close**,SPRTRN,RF
26-Apr-19,"2,939.88",0.001070899,2.51
29-Apr-19,"2,943.03",0.000950948,2.54
30-Apr-19,"2,945.83",-0.007530413,2.51
1-May-19,"2,923.73",-0.002126258,2.51
2-May-19,"2,917.52",0.009592171,2.55
3-May-19,"2,945.64",-0.00448104,2.53
6-May-19,"2,932.47",-0.016649515,2.5
7-May-19,"2,884.05",-0.001606671,2.45
8-May-19,"2,879.42",-0.003026016,2.48
9-May-19,"2,870.72",0.003713418,2.46
10-May-19,"2,881.40",-0.024426545,2.46
13-May-19,"2,811.87",0.00798406,2.41
14-May-19,"2,834.41",0.005821977,2.42
15-May-19,"2,850.96",0.00885592,2.38
16-May-19,"2,876.32",-0.005854424,2.41
17-May-19,"2,859.53",-0.006772241,2.39
20-May-19,"2,840.23",0.008459905,2.42
21-May-19,"2,864.36",-0.002828362,2.43
22-May-19,"2,856.27",-0.011985682,2.39
23-May-19,"2,822.24",0.00135262,2.3
24-May-19,"2,826.06",-0.008410891,2.32
28-May-19,"2,802.39",-0.006935956,2.27
29-May-19,"2,783.02",0.002096241,2.24
30-May-19,"2,788.86",-0.013283188,2.23
31-May-19,"2,752.06",-0.002769032,2.14
3-Jun-19,"2,744.45",0.021205902,2.08
4-Jun-19,"2,803.27",0.008128769,2.12
5-Jun-19,"2,826.15",0.00611681,2.12
6-Jun-19,"2,843.49",0.010442945,2.12
7-Jun-19,"2,873.34",0.004649257,2.08
10-Jun-19,"2,886.73",-0.000349938,2.14
11-Jun-19,"2,885.72",-0.002039698,2.14
12-Jun-19,"2,879.84",0.004089078,2.13
13-Jun-19,"2,891.64",-0.001612842,2.09
14-Jun-19,"2,886.98",0.000931336,2.09
17-Jun-19,"2,889.67",0.009670463,2.09
18-Jun-19,"2,917.75",0.00298073,2.06
19-Jun-19,"2,926.46",0.009427615,2.03
20-Jun-19,"2,954.18",-0.001260026,2
21-Jun-19,"2,950.46",-0.001733435,2.07
24-Jun-19,"2,945.35",-0.009541702,2.02
25-Jun-19,"2,917.38",-0.001234746,1.99
26-Jun-19,"2,913.78",0.003815923,2.05
27-Jun-19,"2,924.92",0.005740912,2.01
28-Jun-19,"2,941.76",0.007642996,2
1-Jul-19,"2,964.33",0.00292387,2.03
2-Jul-19,"2,973.01",0.007643076,1.98
3-Jul-19,"2,995.82",-0.001807482,1.95
5-Jul-19,"2,990.41",-0.004847186,2.05
8-Jul-19,"2,975.95",0.001235816,2.03
9-Jul-19,"2,979.63",0.004500485,2.05
10-Jul-19,"2,993.07",0.002282672,2.06
11-Jul-19,"2,999.91",0.004609499,2.12
12-Jul-19,"3,013.77",0.000175844,2.11
15-Jul-19,"3,014.30",-0.003409581,2.09
16-Jul-19,"3,004.04",-0.006552626,2.12
17-Jul-19,"2,984.42",0.003575536,2.06
18-Jul-19,"2,995.11",-0.00619589,2.04
19-Jul-19,"2,976.61",0.002824728,2.05
22-Jul-19,"2,985.03",0.006824165,2.04
23-Jul-19,"3,005.47",0.004677164,2.07
24-Jul-19,"3,019.56",-0.005276251,2.05
25-Jul-19,"3,003.67",0.007360474,2.07
26-Jul-19,"3,025.86",-0.001617377,2.08
29-Jul-19,"3,020.97",-0.002581972,2.06
30-Jul-19,"3,013.18",-0.01094519,2.06
31-Jul-19,"2,980.38",-0.009039587,2.02
1-Aug-19,"2,953.56",-0.007309385,1.89
2-Aug-19,"2,932.05",-0.030230162,1.86
5-Aug-19,"2,844.74",0.012933014,1.74
6-Aug-19,"2,881.77",0.000766596,1.74
7-Aug-19,"2,883.98",0.018588426,1.68
8-Aug-19,"2,938.09",-0.00663853,1.72
9-Aug-19,"2,918.65",-0.012393826,1.73
12-Aug-19,"2,882.70",0.015018306,1.64
13-Aug-19,"2,926.32",-0.029730363,1.68
14-Aug-19,"2,840.60",0.002461237,1.58
15-Aug-19,"2,847.60",0.014323116,1.53
16-Aug-19,"2,888.68",0.012033185,1.54
19-Aug-19,"2,923.65",-0.007946252,1.6
20-Aug-19,"2,900.51",0.008213006,1.56
21-Aug-19,"2,924.43",-0.00050621,1.58
22-Aug-19,"2,922.95",-0.026288936,1.61
23-Aug-19,"2,847.11",0.010923191,1.53
26-Aug-19,"2,878.38",-0.003208332,1.55
27-Aug-19,"2,869.16",0.006524141,1.49
28-Aug-19,"2,887.94",0.012607435,1.47
29-Aug-19,"2,924.58",0.000642621,1.52
30-Aug-19,"2,926.46",-0.006923029,1.51
3-Sep-19,"2,906.27",0.010783722,1.47
4-Sep-19,"2,937.78",0.012925923,1.46
5-Sep-19,"2,976.00",0.000910204,1.57
6-Sep-19,"2,978.71",-9.40048E-05,1.55
9-Sep-19,"2,978.43",0.000322266,1.62
10-Sep-19,"2,979.39",0.007203659,1.7
11-Sep-19,"3,000.93",0.002874971,1.73
12-Sep-19,"3,009.57",-0.000724618,1.79
13-Sep-19,"3,007.39",-0.003140536,1.9
16-Sep-19,"2,997.96",0.002578429,1.84
17-Sep-19,"3,005.70",0.000342624,1.81
18-Sep-19,"3,006.73",1.9955E-05,1.79
19-Sep-19,"3,006.79",-0.004907609,1.77
20-Sep-19,"2,992.07",-9.69276E-05,1.76
23-Sep-19,"2,991.78",-0.008452012,1.71
24-Sep-19,"2,966.60",0.006139679,1.64
25-Sep-19,"2,984.87",-0.002431871,1.73
26-Sep-19,"2,977.62",-0.005330508,1.69
27-Sep-19,"2,961.79",0.005034927,1.68
30-Sep-19,"2,976.74",-0.01233413,1.68
1-Oct-19,"2,940.25",-0.018065441,1.64
2-Oct-19,"2,887.61",0.007940382,1.6
3-Oct-19,"2,910.63",0.014116742,1.54
4-Oct-19,"2,952.01",-0.004488362,1.52
7-Oct-19,"2,938.79",-0.015683167,1.55
8-Oct-19,"2,893.06",0.00906335,1.54
9-Oct-19,"2,919.40",0.006395209,1.59
10-Oct-19,"2,938.13",0.010879533,1.66
11-Oct-19,"2,970.27",-0.001388042,1.75
14-Oct-19,"2,966.15",0.009906435,1.73
15-Oct-19,"2,995.68",-0.002001548,1.77
16-Oct-19,"2,989.69",0.002759019,1.75
17-Oct-19,"2,997.95",-0.003927046,1.76
18-Oct-19,"2,986.20",0.006848107,1.75
21-Oct-19,"3,006.72",-0.003575056,1.79
22-Oct-19,"2,995.99",0.002843094,1.77
23-Oct-19,"3,004.52",0.001918598,1.76
24-Oct-19,"3,010.29",0.004064426,1.77
25-Oct-19,"3,022.55",0.005565862,1.8
28-Oct-19,"3,039.42",-0.000832742,1.85
29-Oct-19,"3,036.89",0.003248048,1.84
30-Oct-19,"3,046.77",-0.003027452,1.8
31-Oct-19,"3,037.56",0.009615979,1.69
1-Nov-19,"3,066.91",0.003697211,1.73
4-Nov-19,"3,078.27",-0.001186434,1.79
5-Nov-19,"3,074.62",0.000702279,1.87
6-Nov-19,"3,076.78",0.002726407,1.81
7-Nov-19,"3,085.18",0.002557356,1.93
8-Nov-19,"3,093.08",-0.001964373,1.93
11-Nov-19,"3,087.01",0.001563398,1.94
12-Nov-19,"3,091.84",0.000711297,1.91
13-Nov-19,"3,094.04",0.000836743,1.87
14-Nov-19,"3,096.63",0.007666003,1.82
15-Nov-19,"3,120.46",0.000503004,1.83
18-Nov-19,"3,122.03",-0.000592739,1.81
19-Nov-19,"3,120.18",-0.003763266,1.79
20-Nov-19,"3,108.46",-0.001584031,1.74
21-Nov-19,"3,103.54",0.002172574,1.77
22-Nov-19,"3,110.29",0.007479299,1.77
25-Nov-19,"3,133.64",0.002193123,1.76
26-Nov-19,"3,140.52",0.004165779,1.74
27-Nov-19,"3,153.63",-0.004019317,1.77
29-Nov-19,"3,140.98",-0.008668528,1.78
2-Dec-19,"3,113.87",-0.006660172,1.84
3-Dec-19,"3,093.20",0.006303639,1.71
4-Dec-19,"3,112.76",0.001499152,1.78
5-Dec-19,"3,117.43",0.009094252,1.8
6-Dec-19,"3,145.91",-0.003167849,1.84
9-Dec-19,"3,135.96",-0.001097555,1.83
10-Dec-19,"3,132.52",0.002903981,1.83
11-Dec-19,"3,141.63",0.008538608,1.79
12-Dec-19,"3,168.57",7.25853E-05,1.9
13-Dec-19,"3,168.80",0.007122392,1.82
16-Dec-19,"3,191.45",0.000335215,1.89
17-Dec-19,"3,192.52",-0.000432354,1.89
18-Dec-19,"3,191.14",0.004449309,1.92
19-Dec-19,"3,205.37",0.004932641,1.91
20-Dec-19,"3,221.22",0.000865757,1.92
23-Dec-19,"3,224.01",-0.000195428,1.94
24-Dec-19,"3,223.38",0.005115053,1.91
26-Dec-19,"3,239.91",3.3951E-05,1.91
27-Dec-19,"3,240.02",-0.005797602,1.87
30-Dec-19,"3,221.29",0.002941694,1.9
31-Dec-19,"3,230.78",0.008343874,1.92
2-Jan-20,"3,257.85",-0.00708491,1.88
3-Jan-20,"3,234.85",0.003527166,1.79
6-Jan-20,"3,246.28",-0.002807145,1.81
7-Jan-20,"3,237.18",0.004890437,1.83
8-Jan-20,"3,253.05",0.006633244,1.87
9-Jan-20,"3,274.70",-0.002859307,1.86
10-Jan-20,"3,265.35",0.00695206,1.83
13-Jan-20,"3,288.13",-0.001515687,1.85
14-Jan-20,"3,283.15",0.001868409,1.82
15-Jan-20,"3,289.29",0.008331742,1.79
16-Jan-20,"3,316.81",0.003854706,1.81
17-Jan-20,"3,329.62",-0.002655477,1.84
21-Jan-20,"3,320.79",0.000289046,1.77
22-Jan-20,"3,321.75",0.001140314,1.77
23-Jan-20,"3,325.54",-0.009083269,1.74
24-Jan-20,"3,295.47",-0.015855725,1.68
27-Jan-20,"3,243.63",0.01000335,1.61
28-Jan-20,"3,276.24",-0.000867223,1.64
29-Jan-20,"3,273.40",0.003129454,1.59
30-Jan-20,"3,283.66",-0.017864476,1.56
31-Jan-20,"3,225.52",0.007228456,1.52
3-Feb-20,"3,248.92",0.014869265,1.52
4-Feb-20,"3,297.59",0.011187823,1.6
5-Feb-20,"3,334.69",0.003320129,1.65
6-Feb-20,"3,345.78",-0.005415471,1.64
7-Feb-20,"3,327.71",0.007299652,1.58
10-Feb-20,"3,352.09",0.001687075,1.55
11-Feb-20,"3,357.75",0.006441868,1.59
12-Feb-20,"3,379.45",-0.001631773,1.63
13-Feb-20,"3,373.94",0.001841845,1.62
14-Feb-20,"3,380.16",-0.002924252,1.59
18-Feb-20,"3,370.29",0.004694789,1.56
19-Feb-20,"3,386.15",-0.00382284,1.57
20-Feb-20,"3,373.23",-0.010573815,1.53
21-Feb-20,"3,337.75",-0.034088046,1.47
24-Feb-20,"3,225.89",-0.030747925,1.38
25-Feb-20,"3,128.21",-0.003785675,1.33
26-Feb-20,"3,116.39",-0.045168174,1.31
27-Feb-20,"2,978.76",-0.00827245,1.3
28-Feb-20,"2,954.22",0.045010865,1.13
2-Mar-20,"3,090.23",-0.02851053,1.09
3-Mar-20,"3,003.37",0.041336351,1.01
4-Mar-20,"3,130.12",-0.034510726,0.99
5-Mar-20,"3,023.94",-0.017201002,0.93
6-Mar-20,"2,972.37",-0.079010395,0.71
9-Mar-20,"2,746.56",0.048215081,0.5
10-Mar-20,"2,882.23",-0.050102857,0.75
11-Mar-20,"2,741.38",-0.099944852,0.82
12-Mar-20,"2,480.64",0.088808356,0.85
13-Mar-20,"2,711.02",-0.127652141,0.95
16-Mar-20,"2,386.13",0.058226287,0.73
17-Mar-20,"2,529.19",-0.053222336,1
18-Mar-20,"2,398.10",0.004696846,1.27
19-Mar-20,"2,409.39",-0.044327635,1.12
20-Mar-20,"2,304.92",-0.029731491,0.94
23-Mar-20,"2,237.40",0.089683157,0.76
24-Mar-20,"2,447.33",0.011468999,0.82
25-Mar-20,"2,475.56",0.060543829,0.86
26-Mar-20,"2,630.07",-0.034267808,0.81
27-Mar-20,"2,541.47",0.032966616,0.75
30-Mar-20,"2,626.65",-0.016142382,0.67
31-Mar-20,"2,584.59",-0.045146329,0.7
1-Apr-20,"2,470.50",0.022572696,0.64
2-Apr-20,"2,526.90",-0.01525286,0.63
